,Paid?,student_last,student_first,Grade Level,School name,saxophone,private_teacher,parent_email
0,Y,Ortega,Julia,12,Vandegrift HS,2 Tenor,Alexander-Bucket,brookscarol@hotmail.com
1,Y,Cooper,Michael,7,Walsh MS,0 Soprano,Cakelake,sarahvaughn@gonzalez.biz
2,Y,Bowen,Seth,8,Cedar Park MS,0 Soprano,Rodgers,jperkins@washington-anthony.com
3,Y,Hutchinson,Tara,10,Vandegrift HS,3 Baritone,Gunter,uwheeler@shields-perez.com
4,Y,Medina,Michael,9,Austin HS,3 Baritone,Silver,benjaminbrandt@roberts.com
5,Y,Baker,Bobby,7,Lake Travis MS,0 Soprano,Rodgers,seankirby@hotmail.com
6,Y,Prince,Matthew,10,Anderson HS,3 Baritone,Cakelake,perezmartin@gmail.com
7,Y,Hull,Louis,12,Vandegrift HS,3 Baritone,Gildenstern,rhonda40@gmail.com
8,Y,Gentry,Christine,9,Cedar Park HS,3 Baritone,Rosenctrantz,curtiscarroll@lowery.com
9,Y,Anderson,Anita,12,Vista Ridge HS,1 Alto,Opie,valdezcarolyn@carlson-bowman.biz
10,Y,Reyes,William,7,Small MS,0 Soprano,Kitten,wilsondebra@gmail.com
11,Y,Knight,Jamie,10,Cedar Park HS,0 Soprano,Rosenctrantz,johnsonnancy@calderon.com
12,Y,Hodges,Gregory,12,Vandegrift HS,3 Baritone,Alexander-Bucket,xcross@brown.com
13,Y,Brady,Dana,9,Austin HS,0 Soprano,,bruiz@yahoo.com
14,Y,Terrell,Chloe,11,Round Rock HS,0 Soprano,Kitten,madison66@gmail.com
15,Y,Jones,Destiny,12,Anderson HS,0 Soprano,Bucket,matthewfry@yahoo.com
16,Y,Williams,Carrie,10,Austin HS,3 Baritone,Cakelake,flynch@hotmail.com
17,Y,Roberts,Timothy,12,Round Rock HS,1 Alto,Tibbs,eshort@moore.com
18,Y,Smith,Todd,8,Cedar Park MS,2 Tenor,Opie,hicksjennifer@hotmail.com
19,Y,Hughes,John,8,Lake Travis MS,3 Baritone,Rodgers,goodwinstephanie@hotmail.com
20,Y,Rodriguez,Linda,11,Vandegrift HS,0 Soprano,Wrestler,jason47@yahoo.com
21,Y,Oneill,Yolanda,8,Henry MS,2 Tenor,Restler,collinskimberly@gmail.com
22,Y,Hancock,Wendy,10,Austin HS,3 Baritone,,ericagonzalez@griffin-williams.com
23,Y,Johnson,Danielle,12,Vandegrift HS,1 Alto,Kitten,langmonica@hotmail.com
24,Y,Trujillo,Abigail,10,Lake Travis HS,2 Tenor,Alexander-Bucket,angelcraig@gonzales-wilkins.com
25,Y,Williamson,Miguel,8,Chisolm Trail,1 Alto,Wrestler,taylor51@daniels.org
26,Y,Hodges,Timothy,10,Vista Ridge HS,3 Baritone,Silver,jessicascott@hotmail.com
27,Y,Hall,Christopher,7,Danielson MS,0 Soprano,Gunter,kellysmith@hotmail.com
28,Y,Cruz,Donald,9,Round Rock HS,2 Tenor,McFly,jennifer91@hotmail.com
29,Y,Pineda,Robert,12,Vista Ridge HS,0 Soprano,Rosenctrantz,hortoncrystal@yahoo.com
30,Y,Lee,James,10,Vandegrift HS,2 Tenor,Rosenctrantz,laurasnow@gmail.com
31,Y,James,Nicholas,10,Weiss HS,1 Alto,Gildenstern,robertsrachel@hotmail.com
32,Y,Vaughn,Brandy,11,Round Rock HS,1 Alto,Opie,greg38@smith.biz
33,Y,Ramirez,Nicole,12,James Bowie HS,2 Tenor,Kitten,sean67@hotmail.com
34,Y,Anthony,Nicole,7,Small MS,1 Alto,Rodgers,sandywhite@terry-martin.org
35,Y,Gonzalez,Sue,12,Vista Ridge HS,0 Soprano,Cakelake,mgonzales@matthews.org
36,Y,Jackson,Danny,10,Cedar Park HS,3 Baritone,Alexander-Bucket,ryancarter@steele.com
37,Y,Tate,Cheryl,7,Walsh MS,2 Tenor,Gildenstern,snyderrandy@yahoo.com
38,Y,Blair,Daniel,7,Manor New Tech MS,1 Alto,del Rio,alyssa70@gmail.com
39,Y,Lawrence,Henry,8,Wiley MS,1 Alto,Gunter,charlescolon@perez-williams.com
40,Y,Brown,Kathleen,7,Small MS,2 Tenor,Kitten,mary59@hotmail.com
41,Y,Huynh,Angela,10,Round Rock HS,0 Soprano,Opie,caroline78@gmail.com
42,Y,Richardson,April,11,Cedar Park HS,3 Baritone,Tibbs,rgrant@browning.com
43,Y,Garcia,Daniel,12,Vandegrift HS,2 Tenor,,mitchellrivera@adams.com
