,student_name,student_email,School name,Grade Level,T-Shirt Size,,parent_name,parent_email,Primary_saxophone,Secondary_saxophon,private_teacher
0,"Thompson, Melanie",katelyn30@huffman-leach.info,Cedar Park HS,0,XS,,"Thompson, Angela",jennifersantiago@scott-martin.com,3 Baritone,1 Alto,Cakelake
0,"Ruiz, Jonathan",dawn11@yahoo.com,Round Rock HS,1,XL,,"Ruiz, Kaitlyn",emmagonzales@gmail.com,1 Alto,1 Alto,Kitten
1,"Calderon, Brent",billymccormick@rice.com,James Bowie HS,0,S,,"Calderon, Catherine",cooperlauren@yahoo.com,3 Baritone,,Restler
2,"Schultz, Deborah",gordonjesse@welch.com,Lake Travis HS,0,M,,"Schultz, Steve",carla51@hotmail.com,0 Soprano,,McFly
3,"Melton, Christopher",quinnabigail@yahoo.com,Grisham MS,8,S,,"Melton, Peter",bushelizabeth@yahoo.com,2 Tenor,3 Baritone,Opie
5,"Figueroa, Michele",cassandra58@arnold-gonzalez.com,Cele MS,7,L,,"Figueroa, Robert",melissa80@watts-murphy.com,1 Alto,3 Baritone,Cakelake
6,"Bell, Andrew",ashley15@church-underwood.com,Grisham MS,8,L,,"Bell, Fred",sabrinasosa@yahoo.com,2 Tenor,,Bucket
7,"Brock, William",rowebrad@chapman.com,James Bowie HS,9,XS,,"Brock, Cheryl",justin23@yahoo.com,2 Tenor,0 Soprano,Bull
8,"Hernandez, Aaron",njones@hotmail.com,Running Brushy MS,7,L,,"Hernandez, Heidi",christophercollins@gmail.com,0 Soprano,1 Alto,Gunter
9,"Hickman, Leslie",gregory72@greene.net,Cedar Park HS,0,XL,,"Hickman, Angela",wgreen@gmail.com,0 Soprano,3 Baritone,Bull
0,"Banks, Katherine",tylergrant@hotmail.com,Canyon Ridge MS,8,M,,"Banks, Rebecca",darlene77@hotmail.com,1 Alto,,McFly
0,"Neal, Virginia",turnermiranda@middleton-miller.com,Cele MS,8,S,,"Neal, Sandra",jennifer60@smith.com,2 Tenor,1 Alto,Restler
